PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
39.97,47.97,11.73,15.81,36.24,11.46,8.68,0.73,27.58,0.41,1.46,1.67,0.88,88.49,None,None,25.41,776.7
39.48,47.48,12.01,16.12,36.72,11.22,9.03,0.75,27.05,0.41,1.42,1.62,0.84,89.25,None,None,25.48,775.1
37.02,45.02,12.02,15.82,36.18,11.43,8.47,0.75,26.71,0.42,1.45,1.7,0.87,89.25,None,None,27.72,775.1
35.49,43.49,12.11,15.92,36.89,11.36,12.99,0.73,27.6,0.42,1.46,1.69,0.88,89.25,None,None,25.33,775.1
45.63,53.63,11.91,15.94,36.24,11.31,13.67,0.74,27.5,0.41,1.44,1.66,0.89,89.25,None,None,26.47,775.1
41.88,49.88,12.14,15.47,36.11,11.34,13.1,0.74,27.04,0.41,1.47,1.65,0.9,89.25,None,None,46.03,775.1
36.71,44.71,12.19,15.7,37.76,11.4,11.52,0.74,27.15,0.41,1.46,1.65,0.89,89.25,None,None,33.78,775.1
39.61,47.61,12.16,15.76,36.38,11.39,8.43,0.73,27.23,0.41,1.44,1.69,0.88,89.25,None,None,49.66,775.1
42.69,50.69,12.2,16.5,35.91,11.26,8.51,0.73,27.68,0.41,1.43,1.71,0.85,89.18,None,None,87.82,775.1
47.48,55.48,11.13,16.58,37.73,10.84,8.59,0.73,21.92,0.42,1.52,1.68,0.85,81.56,None,None,96.68,775.1
44.3,52.3,12.43,15.75,36.35,11.18,14.56,0.75,26.2,0.41,1.48,1.7,0.88,71.5,None,None,286.84,775.1
109.83,117.83,12.12,16.52,36.98,11.27,None,0.73,20.14,0.39,1.44,1.71,0.92,51.42,None,None,370.25,775.1
91.47,99.82,11.45,15.68,37.75,None,None,0.74,12.48,0.39,1.47,1.75,0.85,44.61,None,None,294.96,774.9
